ID,HouseholdCharacteristics,Periods,MedianDevelopmentPurchasingPower_1,PersonsWithPurchasingPowerDecrease_2,PersonsWithPurchasingPowerIncrease_3,k_20thPercentile_4,k_40thPercentile_5,k_60thPercentile_6,k_80thPercentile_7
198,A042087,2012JJ00,-1.2,72.7,27.3,-3.9,-1.6,-0.8,0.9
199,A042087,2013JJ00,-2.8,82.0,18.0,-7.2,-3.8,-1.9,-0.2
200,A042087,2014JJ00,0.7,38.2,61.8,-2.7,0.1,1.2,2.5
201,A042087,2015JJ00,0.2,46.2,53.8,-2.6,-0.3,0.6,1.6
202,A042087,2016JJ00,0.7,38.6,61.4,-2.7,0.1,1.2,2.0
203,A042087,2017JJ00,-0.1,54.1,45.9,-2.8,-0.6,0.2,1.1
204,A042087,2018JJ00,-0.3,62.9,37.1,-2.0,-0.6,-0.1,1.0
205,A042087,2019JJ00,0.7,27.3,72.7,-0.8,0.4,1.0,2.2
206,A042087,2020JJ00,1.3,24.3,75.7,-1.1,1.0,1.5,2.3
207,A042087,2021JJ00,-0.2,59.1,40.9,-1.5,-0.4,0.0,1.9
208,A042087,2022JJ00,-2.8,70.3,29.7,-4.3,-3.2,-2.2,2.6
209,1013395,2012JJ00,-0.8,54.0,46.0,-9.5,-2.7,1.2,8.2
210,1013395,2013JJ00,0.2,48.9,51.1,-8.9,-1.7,2.2,9.6
211,1013395,2014JJ00,2.9,36.0,64.0,-6.2,0.9,5.0,13.1
212,1013395,2015JJ00,2.6,37.1,62.9,-6.6,0.6,4.9,13.3
213,1013395,2016JJ00,5.0,29.3,70.7,-4.1,2.9,7.3,16.1
214,1013395,2017JJ00,1.7,41.4,58.6,-6.7,-0.3,4.0,13.3
215,1013395,2018JJ00,1.9,40.4,59.6,-6.6,-0.1,4.4,13.5
216,1013395,2019JJ00,2.7,36.2,63.8,-5.9,0.8,5.1,14.2
217,1013395,2020JJ00,4.3,31.9,68.1,-5.5,2.1,6.7,15.5
218,1013395,2021JJ00,2.8,36.2,63.8,-6.1,0.8,5.3,14.8
219,1013395,2022JJ00,-0.5,52.1,47.9,-8.7,-2.5,2.0,10.4
220,1013400,2012JJ00,-0.7,53.8,46.2,-8.1,-2.4,1.1,7.1
221,1013400,2013JJ00,0.4,47.4,52.6,-7.1,-1.3,2.3,8.7
222,1013400,2014JJ00,2.8,35.0,65.0,-5.1,1.1,4.7,11.2
223,1013400,2015JJ00,2.7,35.2,64.8,-4.9,0.9,4.7,11.9
224,1013400,2016JJ00,4.9,27.4,72.6,-2.9,3.1,7.0,14.4
225,1013400,2017JJ00,1.5,41.1,58.9,-5.6,-0.2,3.6,11.3
226,1013400,2018JJ00,1.9,39.5,60.5,-5.3,0.1,4.0,11.9
227,1013400,2019JJ00,2.7,34.6,65.4,-4.6,1.0,4.8,12.5
228,1013400,2020JJ00,4.4,29.4,70.6,-3.8,2.5,6.5,14.0
229,1013400,2021JJ00,2.8,34.6,65.4,-4.7,1.0,5.0,13.2
230,1013400,2022JJ00,-0.4,52.0,48.0,-7.5,-2.3,1.8,9.6
231,1013601,2012JJ00,-1.8,54.7,45.3,-19.2,-6.0,2.4,17.2
232,1013601,2013JJ00,-3.0,57.2,42.8,-19.6,-7.0,1.3,16.5
233,1013601,2014JJ00,4.1,40.4,59.6,-12.2,-0.2,9.3,29.8
234,1013601,2015JJ00,1.5,46.3,53.7,-18.0,-2.9,5.9,20.8
235,1013601,2016JJ00,5.2,37.1,62.9,-10.0,1.2,10.0,27.0
236,1013601,2017JJ00,3.0,42.6,57.4,-12.1,-1.0,7.8,24.5
237,1013601,2018JJ00,2.2,44.4,55.6,-13.5,-1.6,6.8,22.0
238,1013601,2019JJ00,2.8,42.9,57.1,-12.5,-1.1,7.4,24.0
239,1013601,2020JJ00,3.2,42.4,57.6,-15.4,-1.1,7.9,23.5
240,1013601,2021JJ00,2.4,43.8,56.2,-12.9,-1.4,6.9,22.5
241,1013601,2022JJ00,-1.1,52.9,47.1,-13.7,-4.4,2.6,12.8
242,1013602,2012JJ00,-2.3,54.8,45.2,-20.1,-7.2,2.7,18.2
243,1013602,2013JJ00,-2.4,54.9,45.1,-19.5,-7.1,2.7,18.7
244,1013602,2014JJ00,3.8,42.1,57.9,-13.4,-1.0,9.1,25.8
245,1013602,2015JJ00,3.5,42.6,57.4,-13.4,-1.2,8.6,24.8
246,1013602,2016JJ00,5.4,38.5,61.5,-11.3,0.7,10.4,26.4
247,1013602,2017JJ00,3.1,43.1,56.9,-12.7,-1.4,8.0,23.7
248,1013602,2018JJ00,2.9,43.4,56.6,-12.9,-1.5,7.6,22.3
249,1013602,2019JJ00,2.3,44.7,55.3,-13.4,-2.0,6.8,20.8
250,1013602,2020JJ00,4.3,40.9,59.1,-13.0,-0.4,9.4,24.8
251,1013602,2021JJ00,2.7,43.7,56.3,-12.5,-1.6,7.5,22.9
252,1013602,2022JJ00,0.5,48.7,51.3,-15.0,-3.7,4.0,14.4
253,1013603,2012JJ00,-1.1,54.0,46.0,-15.3,-3.7,1.9,14.6
254,1013603,2013JJ00,-3.7,62.1,37.9,-18.4,-6.5,-0.7,10.9
255,1013603,2014JJ00,4.8,35.6,64.4,-7.6,1.3,10.5,54.1
256,1013603,2015JJ00,-1.4,54.0,46.0,-36.0,-6.4,1.6,10.7
257,1013603,2016JJ00,5.2,32.1,67.9,-5.1,2.1,9.3,28.7
258,1013603,2017JJ00,3.1,40.0,60.0,-8.5,0.0,7.6,26.7
259,1013603,2018JJ00,1.3,45.6,54.4,-13.2,-1.4,5.1,20.9
260,1013603,2019JJ00,4.4,37.3,62.7,-7.5,0.8,9.6,41.3
261,1013603,2020JJ00,1.6,44.9,55.1,-23.4,-2.2,5.1,19.0
262,1013603,2021JJ00,2.1,42.5,57.5,-11.1,-0.7,5.9,21.2
263,1013603,2022JJ00,-3.2,63.5,36.5,-10.0,-4.9,-1.0,7.2
264,1013604,2012JJ00,-1.0,54.2,45.8,-11.2,-3.2,1.7,11.1
265,1013604,2013JJ00,-2.9,60.8,39.2,-12.8,-5.2,-0.3,9.6
266,1013604,2014JJ00,2.1,41.6,58.4,-8.3,-0.4,5.0,17.3
267,1013604,2015JJ00,3.3,36.8,63.2,-7.5,0.8,6.6,19.4
268,1013604,2016JJ00,3.7,35.4,64.6,-7.4,1.2,6.8,20.0
269,1013604,2017JJ00,1.4,44.3,55.7,-8.2,-0.9,4.6,17.3
270,1013604,2018JJ00,1.2,44.8,55.2,-8.2,-1.0,4.0,14.9
271,1013604,2019JJ00,1.9,40.6,59.4,-7.5,-0.2,4.7,14.8
272,1013604,2020JJ00,3.9,32.5,67.5,-6.1,1.7,7.0,19.2
273,1013604,2021JJ00,2.5,39.1,60.9,-6.8,0.2,5.5,17.2
274,1013604,2022JJ00,-3.2,61.7,38.3,-9.9,-4.5,-0.5,8.3
275,1013650,2012JJ00,-1.3,67.1,32.9,-5.9,-1.9,-0.7,3.0
276,1013650,2013JJ00,-2.5,73.1,26.9,-8.0,-3.7,-1.6,1.7
277,1013650,2014JJ00,1.0,38.0,62.0,-4.0,0.2,1.7,5.5
278,1013650,2015JJ00,0.3,45.8,54.2,-4.2,-0.4,0.9,4.4
279,1013650,2016JJ00,1.0,36.9,63.1,-3.4,0.3,1.5,4.8
280,1013650,2017JJ00,0.0,49.7,50.3,-3.8,-0.6,0.5,3.8
